PUNJAB ,SANGRUR ,No,14,14,6,24,Yes,no,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,10,Not Responded,Not Responded,Not provided
PUNJAB ,PATHANKOT ,No,8,8,2,24,Yes,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,0,0,0,0
PUNJAB ,HOSHIARPUR,Yes,16,16,0,24,YES ,YES ,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,0,1
PUNJAB,FARIDKOT ,No,6,6,1,24,Yes,Yes,Not Responded,32,Not Responded,3,Not Responded,1,Not Responded,Yes,2,2,Not Responded,Not provided
PUNJAB,BARNALA ,No,8,8,1,24,Yes,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,0,Not provided,Not Responded,Not provided
PUNJAB,AMRITSAR ,No,21,21,0,0,No,Not responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,Not Responded,Not Responded,Not Responded,Not provided
PUNJAB,MANSA ,No,Not provided,Not provided,Not provided,Not Responded,Not responded,Not responded,Not provided,22,Not provided,15,Not provided,15,8,No,1,Not Responded,Not Responded,Not provided
PUNJAB ,KAPURTHALA ,No,8,8,3,24,Yes,Yes,0,40,0,21,0,21,Not provided,Yes,Not provided,Not provided,Not Responded,Not provided
PUNJAB,SBS NAGAR ,No,6,6,2,24,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,0,Not Responded,Not Responded,Not provided
PUNJAB,RUPNAGAR ,No,8,8,2,24,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not provided,Not Responded,Not Responded,Not provided
PUNJAB ,PATIALA ,No,23,23,7,Not provided,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
PUNJAB,FATEHGARH SAHIB ,Yes,9,9,2,Not provided,No,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,1,1,0,2
PUNJAB,FAZILKA,No,8,8,2,24,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
PUNJAB,FEROZEPUR,No,11,11,5,24,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
PUNJAB ,MOGA,Yes,8,8,2,24,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,0,Not provided,Not Responded,Not provided
MIZORAM,AIZAWL,No,8,2,38,24,Yes,No,304,320,16,105,16,96,115,No,Not Responded,Not Responded,Not Responded,Not provided
MIZORAM,SERCHHIP,No,8,2,38,24,YES,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,Not Responded,Not Responded,Not Responded,Not provided
MIZORAM,KOLASIB,No,8,2,38,24,Yes,No,Not Responded,106,6,63,6,63,2,No,Not Responded,Not Responded,Not Responded,Not provided
MIZORAM,LAWNGTLAI,No,8,2,38,24,Yes,No,Not provided,Not provided,Not provided,0,0,0,0,No,Not Responded,Not Responded,Not Responded,Not provided
